2018-12-25 16:36:36 INFO  --> REQUEST 1: {"symbol":"BTC/USD","timestamp":1545752190057.8818,"datetime":"2018-12-25T15:36:30.057Z","high":4316,"low":3812.1,"bid":3856.9,"ask":3857,"close":3856.9,"last":3856.9,"average":3856.95,"baseVolume":36905.460101549994,"info":{"mid":"3856.95","bid":"3856.9","ask":"3857.0","last_price":"3856.9","low":"3812.1","high":"4316.0","volume":"36905.460101549994","timestamp":"1545752190.0578818"}} 
2018-12-25 16:45:56 INFO  --> REQUEST 1: {"symbol":"BTC/USD","timestamp":1545752748963.1682,"datetime":"2018-12-25T15:45:48.963Z","high":4214.5,"low":3812.1,"bid":3856,"ask":3856.1,"close":3856,"last":3856,"average":3856.05,"baseVolume":34221.047665109996,"info":{"mid":"3856.05","bid":"3856.0","ask":"3856.1","last_price":"3856.0","low":"3812.1","high":"4214.5","volume":"34221.047665109996","timestamp":"1545752748.9631681"}} 
2018-12-25 16:50:55 INFO  --> REQUEST 2: {"symbol":"BTC/USD","timestamp":1545753047617.5088,"datetime":"2018-12-25T15:50:47.617Z","high":4214.5,"low":3812.1,"bid":3841.1,"ask":3841.2,"close":3841,"last":3841,"average":3841.15,"baseVolume":34360.47960853,"info":{"mid":"3841.15","bid":"3841.1","ask":"3841.2","last_price":"3841.0","low":"3812.1","high":"4214.5","volume":"34360.47960853","timestamp":"1545753047.617509"}} 
2018-12-25 16:55:55 INFO  --> REQUEST 3: {"symbol":"BTC/USD","timestamp":1545753350385.358,"datetime":"2018-12-25T15:55:50.385Z","high":4214.5,"low":3812.1,"bid":3862.9,"ask":3863,"close":3863,"last":3863,"average":3862.95,"baseVolume":34601.2643195,"info":{"mid":"3862.95","bid":"3862.9","ask":"3863.0","last_price":"3863.0","low":"3812.1","high":"4214.5","volume":"34601.2643195","timestamp":"1545753350.3853579"}} 
2018-12-25 17:00:55 INFO  --> REQUEST 4: {"symbol":"BTC/USD","timestamp":1545753645812.5232,"datetime":"2018-12-25T16:00:45.812Z","high":4214.5,"low":3812.1,"bid":3868,"ask":3868.1,"close":3868,"last":3868,"average":3868.05,"baseVolume":32672.170893349998,"info":{"mid":"3868.05","bid":"3868.0","ask":"3868.1","last_price":"3868.0","low":"3812.1","high":"4214.5","volume":"32672.170893349998","timestamp":"1545753645.8125231"}} 
2018-12-25 17:23:53 INFO  --> REQUEST 5: {"symbol":"BTC/USD","timestamp":1545755031527.2617,"datetime":"2018-12-25T16:23:51.527Z","high":4214.5,"low":3812.1,"bid":3874.1,"ask":3876.9,"close":3874.1,"last":3874.1,"average":3875.5,"baseVolume":31953.78794834,"info":{"mid":"3875.5","bid":"3874.1","ask":"3876.9","last_price":"3874.1","low":"3812.1","high":"4214.5","volume":"31953.78794834","timestamp":"1545755031.5272617"}} 
2018-12-25 19:21:20 INFO  --> REQUEST 1: {"symbol":"BTC/USD","timestamp":1545762079627.9075,"datetime":"2018-12-25T18:21:19.627Z","high":4188.4,"low":3812.1,"bid":3838.9,"ask":3842.9,"close":3839.2,"last":3839.2,"average":3840.9,"baseVolume":32333.88473113,"info":{"mid":"3840.9","bid":"3838.9","ask":"3842.9","last_price":"3839.2","low":"3812.1","high":"4188.4","volume":"32333.88473113","timestamp":"1545762079.6279075"}} 
2018-12-25 19:26:19 INFO  --> REQUEST 2: {"symbol":"BTC/USD","timestamp":1545762377547.4197,"datetime":"2018-12-25T18:26:17.547Z","high":4188.4,"low":3812.1,"bid":3847.2,"ask":3848.3,"close":3848.4,"last":3848.4,"average":3847.75,"baseVolume":32398.651758710002,"info":{"mid":"3847.75","bid":"3847.2","ask":"3848.3","last_price":"3848.4","low":"3812.1","high":"4188.4","volume":"32398.651758710002","timestamp":"1545762377.5474198"}} 
2018-12-25 19:31:19 INFO  --> REQUEST 3: {"symbol":"BTC/USD","timestamp":1545762679717.779,"datetime":"2018-12-25T18:31:19.717Z","high":4187.7,"low":3812.1,"bid":3858.4,"ask":3858.5,"close":3858.5,"last":3858.5,"average":3858.45,"baseVolume":32193.19812161,"info":{"mid":"3858.45","bid":"3858.4","ask":"3858.5","last_price":"3858.5","low":"3812.1","high":"4187.7","volume":"32193.19812161","timestamp":"1545762679.7177792"}} 
2018-12-25 19:36:19 INFO  --> REQUEST 4: {"symbol":"BTC/USD","timestamp":1545762975204.7021,"datetime":"2018-12-25T18:36:15.204Z","high":4187.7,"low":3812.1,"bid":3860.2,"ask":3860.3,"close":3860.8,"last":3860.8,"average":3860.25,"baseVolume":32311.66107579,"info":{"mid":"3860.25","bid":"3860.2","ask":"3860.3","last_price":"3860.8","low":"3812.1","high":"4187.7","volume":"32311.66107579","timestamp":"1545762975.2047021"}} 
2018-12-25 19:41:19 INFO  --> REQUEST 5: {"symbol":"BTC/USD","timestamp":1545763279720.8264,"datetime":"2018-12-25T18:41:19.720Z","high":4187.7,"low":3812.1,"bid":3867.8,"ask":3867.9,"close":3867.9,"last":3867.9,"average":3867.85,"baseVolume":32386.29747869,"info":{"mid":"3867.85","bid":"3867.8","ask":"3867.9","last_price":"3867.9","low":"3812.1","high":"4187.7","volume":"32386.29747869","timestamp":"1545763279.7208264"}} 
